city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Molnári,21014,község,Zala,195 0,Letenyei,Letenye,"1,286",589,264,HU,16.833667,46.385167
Molnaszecsőd,3294,község,Vas,177 0,Körmendi,Körmend,"1,169",417,183,HU,16.679333,47.044667
Molvány,29522,község,Baranya,033 0,Szigetvári,Szigetvár,"1,376",158,82,HU,17.746167,46.030167
Monaj,9016,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,"1,153",242,99,HU,20.938,48.307167
Monok,7825,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,"4,196",1407,766,HU,21.151333,48.212333
Monor,10551,város,Pest,130 1,Monori,Monor,"4,679",19743,7021,HU,19.447667,47.35
Monorierdő,34397,község,Pest,130 0,Monori,Monor,"1,507",5137,1909,HU,,
Mónosbél,31565,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,"1,378",403,143,HU,20.337,48.036167
Monostorapáti,24040,község,Veszprém,189 0,Tapolcai,Tapolca,"2,554",1074,487,HU,17.5605,46.926833
Monostorpályi,25894,község,Hajdú-Bihar,096 0,Derecskei,Derecske,"4,444",2114,943,HU,21.776833,47.3975
Monoszló,22512,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,746,106,64,HU,17.640833,46.9025
Monyoród,16027,község,Baranya,024 0,Bólyi,Bóly,712,169,93,HU,18.480833,46.010167
Mór,18485,város,Fejér,082 1,Móri,Mór,"10,861",13509,5755,HU,18.211833,47.375
Mórágy,20701,község,Tolna,170 0,Bonyhádi,Bonyhád,"1,761",649,296,HU,18.644667,46.216167
Mórahalom,4349,város,Csongrád-Csanád,074 1,Mórahalmi,Mórahalom,"8,315",6341,2842,HU,19.885667,46.217833
Móricgát,34096,község,Bács-Kiskun,042 0,Kiskunmajsai,Kiskunmajsa,"3,289",400,289,HU,19.670667,46.6335
Mórichida,2556,község,Győr-Moson-Sopron,092 0,Téti,Tét,"3,230",807,351,HU,17.418667,47.515
Mosdós,31343,község,Somogy,143 0,Kaposvári,Kaposvár,"1,695",862,324,HU,17.990167,46.354333
Mosonmagyaróvár,4783,város,Győr-Moson-Sopron,089 1,Mosonmagyaróvári,Mosonmagyaróvár,"8,379",34165,16575,HU,17.267833,47.871667
Mosonszentmiklós,33677,község,Győr-Moson-Sopron,087 0,Győri,Győr,"3,071",2637,1013,HU,17.427333,47.7285
Mosonszolnok,28149,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,"4,392",1873,649,HU,17.175333,47.852
Mosonudvar,34412,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,157,384,155,HU,,
Mozsgó,29540,község,Baranya,033 0,Szigetvári,Szigetvár,"2,176",866,337,HU,17.846167,46.115167
Mőcsény,33349,község,Tolna,170 0,Bonyhádi,Bonyhád,"1,214",327,143,HU,18.591833,46.259833
Mucsfa,13620,község,Tolna,170 0,Bonyhádi,Bonyhád,"1,275",289,148,HU,18.4205,46.356
Mucsi,7029,község,Tolna,174 0,Tamási,Tamási,"2,476",419,199,HU,18.393833,46.429
Múcsony,21546,nagyközség,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,"1,755",2685,1186,HU,20.682167,48.270833
Muhi,2158,község,Borsod-Abaúj-Zemplén,068 0,Tiszaújvárosi,Tiszaújváros,962,481,206,HU,20.931,47.9805
Murakeresztúr,25210,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"1,172",1511,686,HU,16.878833,46.360833
Murarátka,7968,község,Zala,195 0,Letenyei,Letenye,"1,204",229,128,HU,16.676,46.458167
Muraszemenye,33987,község,Zala,195 0,Letenyei,Letenye,"1,615",488,271,HU,16.6335,46.477167
Murga,18917,község,Tolna,170 0,Bonyhádi,Bonyhád,659,41,49,HU,18.488333,46.460833
Murony,11989,község,Békés,045 0,Békési,Békés,"3,568",1094,546,HU,21.0425,46.762
Nábrád,19211,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,"1,763",859,366,HU,22.4465,48.006667
Nadap,27599,község,Fejér,080 0,Gárdonyi,Gárdony,693,797,320,HU,18.6195,47.257333
Nádasd,6716,község,Vas,177 0,Körmendi,Körmend,"3,560",1310,599,HU,16.615333,46.9645
Nádasdladány,13903,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,"2,635",1652,625,HU,18.238333,47.139667
Nádudvar,28103,város,Hajdú-Bihar,100 0,Hajdúszoboszlói,Hajdúszoboszló,"22,591",8066,3626,HU,21.164167,47.427
Nágocs,15909,község,Somogy,147 0,Tabi,Tab,"2,226",587,263,HU,17.959833,46.663333
Nagyacsád,23551,község,Veszprém,187 0,Pápai,Pápa,"1,395",594,251,HU,17.372333,47.365833
Nagyalásony,27979,község,Veszprém,186 0,Devecseri,Devecser,"1,401",495,203,HU,17.356833,47.232333
Nagyar,4710,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,"1,599",613,279,HU,22.5525,48.060167
Nagyatád,17941,város,Somogy,145 1,Nagyatádi,Nagyatád,"7,060",9333,4868,HU,17.363333,46.228167
Nagybajcs,2361,község,Győr-Moson-Sopron,087 0,Győri,Győr,765,1228,468,HU,17.687833,47.765167
Nagybajom,21652,város,Somogy,143 0,Kaposvári,Kaposvár,"10,806",3176,1128,HU,17.510833,46.395
Nagybakónak,12760,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"1,794",374,213,HU,17.0435,46.553667
Nagybánhegyes,26028,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,"4,224",1021,778,HU,20.903,46.459833
Nagybaracska,25955,község,Bács-Kiskun,035 0,Bajai,Baja,"3,795",1981,1009,HU,18.906333,46.045833
Nagybarca,29188,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,"1,439",865,354,HU,20.530667,48.248167
Nagybárkány,16391,község,Nógrád,120 0,Salgótarjáni,Salgótarján,884,640,242,HU,19.703167,47.9975
Nagyberény,29063,község,Somogy,146 0,Siófoki,Siófok,"2,314",1284,594,HU,18.173167,46.797667
Nagyberki,21449,község,Somogy,143 0,Kaposvári,Kaposvár,"2,174",1299,506,HU,18.008833,46.357667
Nagybörzsöny,14775,község,Pest,137 0,Szobi,Szob,"5,065",562,358,HU,18.832667,47.937167
Nagybudmér,3984,község,Baranya,024 0,Bólyi,Bóly,"1,022",158,78,HU,18.446833,45.936667
Nagycenk,2495,nagyközség,Győr-Moson-Sopron,091 0,Soproni,Sopron,"1,945",2763,1067,HU,16.696833,47.606833
Nagycsány,18111,község,Baranya,030 0,Sellyei,Sellye,565,130,43,HU,17.946833,45.8725
Nagycsécs,5582,község,Borsod-Abaúj-Zemplén,068 0,Tiszaújvárosi,Tiszaújváros,983,748,283,HU,20.953167,47.9605
Nagycsepely,20598,község,Somogy,146 0,Siófoki,Siófok,"1,980",363,185,HU,17.837167,46.750333
Nagycserkesz,22743,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,"4,147",1530,642,HU,21.554,47.964667
Nagydém,10001,község,Veszprém,187 0,Pápai,Pápa,"1,332",338,167,HU,17.674,47.439833
Nagydobos,21485,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,"2,693",2053,735,HU,22.3125,48.054
Nagydobsza,33899,község,Baranya,033 0,Szigetvári,Szigetvár,"1,323",525,227,HU,17.6655,46.035167
Nagydorog,18388,nagyközség,Tolna,172 0,Paksi,Paks,"4,144",2445,1065,HU,18.659667,46.6215
Nagyecsed,6488,város,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,"4,385",5953,2291,HU,22.389667,47.865833
Nagyér,20914,község,Csongrád-Csanád,073 0,Makói,Makó,"1,229",462,239,HU,20.730833,46.369833
Nagyesztergár,23180,község,Veszprém,192 0,Zirci,Zirc,"1,829",1105,403,HU,17.907167,47.277
Nagyfüged,26879,község,Heves,106 0,Gyöngyösi,Gyöngyös,"2,751",1750,694,HU,20.106,47.682167
Nagygeresd,9283,község,Vas,179 0,Sárvári,Sárvár,940,255,144,HU,16.928833,47.394667
Nagygörbő,5218,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,745,184,99,HU,17.1785,46.929
Nagygyimót,8262,község,Veszprém,187 0,Pápai,Pápa,"2,344",518,251,HU,17.550667,47.3405
Nagyhajmás,12858,község,Baranya,025 0,Hegyháti,Sásd,"1,801",272,131,HU,18.291667,46.370333
Nagyhalász,27155,város,Szabolcs-Szatmár-Bereg,151 0,Ibrányi,Ibrány,"4,430",5311,1950,HU,21.754333,48.138167
Nagyharsány,2653,község,Baranya,031 0,Siklósi,Siklós,"2,601",1336,516,HU,18.396667,45.846833
Nagyhegyes,9478,község,Hajdú-Bihar,100 0,Hajdúszoboszlói,Hajdúszoboszló,"13,277",2884,1111,HU,21.3505,47.539
Nagyhódos,26976,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,764,110,84,HU,22.853667,47.963167
Nagyhuta,15468,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,"3,506",78,36,HU,21.493333,48.430833
Nagyigmánd,22372,nagyközség,Komárom-Esztergom,112 0,Komáromi,Komárom,"5,135",2696,1158,HU,18.0755,47.638833
Nagyiván,21689,község,Jász-Nagykun-Szolnok,168 0,Tiszafüredi,Tiszafüred,"4,316",1018,493,HU,20.9305,47.486
Nagykálló,24785,város,Szabolcs-Szatmár-Bereg,155 1,Nagykállói,Nagykálló,"6,851",9033,3632,HU,21.768833,47.712
Nagykamarás,4242,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,"4,310",1089,782,HU,21.118167,46.472333
Nagykanizsa,30933,megyei jogú város,Zala,196 1,Nagykanizsai,Nagykanizsa,"14,840",42502,23490,HU,16.992,46.45
Nagykapornak,20589,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"2,441",907,373,HU,16.9945,46.820333
Nagykarácsony,7001,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,"3,046",1295,592,HU,18.7745,46.869667
Nagykáta,13435,város,Pest,131 1,Nagykátai,Nagykáta,"8,161",11855,4945,HU,19.742333,47.413
Nagykereki,8907,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,"3,727",1108,470,HU,21.797167,47.1865
Nagykeresztúr,34281,község,Nógrád,120 0,Salgótarjáni,Salgótarján,820,230,102,HU,19.715,48.04
Nagykinizs,26505,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,658,304,122,HU,21.035,48.235167
Nagykónyi,27182,község,Tolna,174 0,Tamási,Tamási,"4,788",957,496,HU,18.201167,46.595667
Nagykorpád,32805,község,Somogy,145 0,Nagyatádi,Nagyatád,"3,342",496,219,HU,17.457167,46.259
Nagykovácsi,9991,nagyközség,Pest,123 0,Budakeszi,Budakeszi,"2,767",8809,3081,HU,18.880833,47.5755
Nagykozár,10940,község,Baranya,028 0,Pécsi,Pécs,"1,146",1998,709,HU,18.3215,46.0665
Nagykökényes,24943,község,Heves,107 0,Hatvani,Hatvan,"1,728",542,262,HU,19.600333,47.734333
Nagykölked,32920,község,Vas,177 0,Körmendi,Körmend,978,171,70,HU,16.5545,47.068167
Nagykőrös,19716,város,Pest,132 1,Nagykőrösi,Nagykőrös,"22,794",23016,10730,HU,19.782667,47.031333
Nagykörű,15574,község,Jász-Nagykun-Szolnok,167 0,Szolnoki,Szolnok,"4,281",1559,919,HU,20.452167,47.277167
Nagykutas,22178,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,845,453,182,HU,16.806333,46.926833
Nagylak,12779,község,Csongrád-Csanád,073 0,Makói,Makó,469,362,297,HU,20.711833,46.171833
Nagylengyel,4455,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,024",506,205,HU,16.766667,46.781833
Nagylóc,21102,község,Nógrád,121 0,Szécsényi,Szécsény,"3,912",1429,683,HU,19.576167,48.0345
Nagylók,32364,község,Fejér,084 0,Sárbogárdi,Sárbogárd,"3,244",987,457,HU,18.637,46.9775
Nagylózs,32939,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,"1,924",952,324,HU,16.7725,47.565833
Nagymágocs,17233,nagyközség,Csongrád-Csanád,076 0,Szentesi,Szentes,"7,509",2677,1234,HU,20.4895,46.584167
Nagymányok,14030,város,Tolna,170 0,Bonyhádi,Bonyhád,"1,068",2118,915,HU,18.459833,46.285
Nagymaros,31732,város,Pest,137 0,Szobi,Szob,"3,437",5052,2302,HU,18.96,47.790667
Nagymizdó,15060,község,Vas,177 0,Körmendi,Körmend,676,114,71,HU,16.6565,46.991167
Nagynyárád,14650,község,Baranya,027 0,Mohácsi,Mohács,"2,434",622,315,HU,18.582,45.944667
Nagyoroszi,23986,község,Nógrád,119 0,Rétsági,Rétság,"4,003",1894,840,HU,19.092833,48.007
Nagypáli,28468,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,632,569,212,HU,16.8455,46.910333
Nagypall,19877,község,Baranya,029 0,Pécsváradi,Pécsvárad,713,345,149,HU,18.457833,46.145833
Nagypeterd,27164,község,Baranya,033 0,Szigetvári,Szigetvár,"1,163",644,249,HU,17.900333,46.046333
Nagypirit,21403,község,Veszprém,186 0,Devecseri,Devecser,"1,016",221,153,HU,17.226667,47.199
Nagyrábé,6309,nagyközség,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,"8,542",1861,925,HU,21.333167,47.2045
Nagyrada,16513,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"1,285",425,202,HU,17.115167,46.619667
Nagyrákos,29869,község,Vas,177 0,Körmendi,Körmend,"1,611",253,140,HU,16.460167,46.833
Nagyrécse,14979,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"2,699",1118,436,HU,17.055,46.489
Nagyréde,31486,nagyközség,Heves,106 0,Gyöngyösi,Gyöngyös,"3,434",3100,1260,HU,19.851833,47.766
Nagyrév,6318,község,Jász-Nagykun-Szolnok,165 0,Kunszentmártoni,Kunszentmárton,"2,979",593,378,HU,20.148333,46.943
Nagyrozvágy,33181,község,Borsod-Abaúj-Zemplén,054 0,Cigándi,Cigánd,"2,681",592,274,HU,21.928667,48.337833
Nagysáp,27076,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"2,478",1414,491,HU,18.596333,47.681
Nagysimonyi,26143,község,Vas,176 0,Celldömölki,Celldömölk,"1,567",915,421,HU,17.0665,47.264667
Nagyszakácsi,25520,község,Somogy,144 0,Marcali,Marcali,"2,137",456,266,HU,17.320833,46.490333
Nagyszékely,6761,község,Tolna,174 0,Tamási,Tamási,"3,671",367,229,HU,18.5305,46.649167
Nagyszekeres,27988,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,"1,051",456,200,HU,22.598333,48.0245
Nagyszénás,8244,nagyközség,Békés,050 0,Orosházi,Orosháza,"9,556",4319,2280,HU,20.674833,46.671833
Nagyszentjános,33543,község,Győr-Moson-Sopron,087 0,Győri,Győr,"3,030",1970,734,HU,17.869167,47.7095
Nagyszokoly,13709,község,Tolna,174 0,Tamási,Tamási,"2,799",861,415,HU,18.2105,46.721833
Nagytálya,27605,község,Heves,104 0,Egri,Eger,"1,319",894,356,HU,20.4115,47.8165
Nagytarcsa,23409,község,Pest,128 0,Gödöllői,Gödöllő,"1,214",6569,2430,HU,19.273167,47.479167
Nagytevel,25201,község,Veszprém,187 0,Pápai,Pápa,"1,441",519,220,HU,17.572,47.295167
Nagytilaj,24837,község,Vas,182 0,Vasvári,Vasvár,"1,566",149,132,HU,16.964,46.979667
Nagytótfalu,28927,község,Baranya,031 0,Siklósi,Siklós,"1,117",303,129,HU,18.3465,45.864333
Nagytőke,29179,község,Csongrád-Csanád,076 0,Szentesi,Szentes,"5,468",365,222,HU,20.287667,46.757167
Nagyút,10418,község,Heves,105 0,Füzesabonyi,Füzesabony,"1,894",662,338,HU,20.174667,47.721167
Nagyvarsány,33783,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,"1,255",1276,541,HU,22.285833,48.1635
Nagyváty,14191,község,Baranya,033 0,Szigetvári,Szigetvár,"1,267",290,130,HU,17.9335,46.062167
Nagyvázsony,19196,község,Veszprém,191 0,Veszprémi,Veszprém,"7,629",1677,675,HU,17.698,46.983
Nagyvejke,16452,község,Tolna,170 0,Bonyhádi,Bonyhád,777,154,93,HU,18.447833,46.379
Nagyveleg,23588,község,Fejér,082 0,Móri,Mór,"1,317",649,275,HU,18.110333,47.361333
Nagyvenyim,26134,nagyközség,Fejér,078 0,Dunaújvárosi,Dunaújváros,"4,368",4285,1592,HU,18.910833,46.852
Nagyvisnyó,28282,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,"4,302",819,496,HU,20.427,48.141167
Nak,2796,község,Tolna,171 0,Dombóvári,Dombóvár,"2,778",452,271,HU,18.054833,46.483667
Napkor,8420,nagyközség,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,"3,735",3554,1342,HU,21.869667,47.942833
Nárai,17367,község,Vas,181 0,Szombathelyi,Szombathely,"1,599",1527,535,HU,16.554167,47.193333
Narda,2042,község,Vas,181 0,Szombathelyi,Szombathely,"1,035",496,200,HU,16.461667,47.236167
Naszály,20163,község,Komárom-Esztergom,114 0,Tatai,Tata,"3,022",2352,898,HU,18.257167,47.697833
Négyes,24156,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,"1,732",252,219,HU,20.685167,47.702333
Nekézseny,28033,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,"1,410",609,330,HU,20.429,48.169667
Nemesapáti,6169,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,037",471,218,HU,16.950833,46.8685
Nemesbikk,5245,község,Borsod-Abaúj-Zemplén,068 0,Tiszaújvárosi,Tiszaújváros,"2,410",897,371,HU,20.969,47.888667
Nemesborzova,27119,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,220,106,41,HU,22.853667,47.963167
Nemesbőd,24509,község,Vas,181 0,Szombathelyi,Szombathely,914,645,253,HU,16.735667,47.269167
Nemesbük,32948,község,Zala,193 0,Keszthelyi,Keszthely,998,730,421,HU,17.145333,46.825167
Nemescsó,23320,község,Vas,178 0,Kőszegi,Kőszeg,738,306,124,HU,16.617167,47.350333
Nemesdéd,7913,község,Somogy,144 0,Marcali,Marcali,"2,661",818,313,HU,17.243167,46.4345
Nemesgörzsöny,5652,község,Veszprém,187 0,Pápai,Pápa,"1,925",621,297,HU,17.363667,47.396667
Nemesgulács,2787,község,Veszprém,189 0,Tapolcai,Tapolca,835,939,382,HU,17.484667,46.835333
Nemeshany,5555,község,Veszprém,188 0,Sümegi,Sümeg,"1,049",336,160,HU,17.369,47.070167
Nemeshetés,7658,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,661,280,196,HU,16.914,46.8005
Nemeske,18236,község,Baranya,033 0,Szigetvári,Szigetvár,"1,057",209,109,HU,17.716333,46.021
Nemeskér,29328,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,642,196,98,HU,16.804333,47.484167
Nemeskeresztúr,3674,község,Vas,176 0,Celldömölki,Celldömölk,"1,217",275,157,HU,17.193833,47.092333
Nemeskisfalud,25511,község,Somogy,144 0,Marcali,Marcali,282,137,42,HU,17.367,46.4405
Nemeskocs,2839,község,Vas,176 0,Celldömölki,Celldömölk,793,322,145,HU,17.188833,47.2015
Nemeskolta,24059,község,Vas,181 0,Szombathelyi,Szombathely,734,358,139,HU,16.638333,47.076333
Nemesládony,26240,község,Vas,179 0,Sárvári,Sárvár,567,154,95,HU,16.888667,47.401667
Nemesmedves,31556,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,474,23,15,HU,16.4025,46.997
Nemesnádudvar,32540,község,Bács-Kiskun,035 0,Bajai,Baja,"5,878",1621,731,HU,19.053,46.340167
Nemesnép,32665,község,Zala,194 0,Lenti,Lenti,972,113,72,HU,16.4595,46.701333
Nemespátró,19859,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"1,225",241,149,HU,17.004667,46.325167
Nemesrádó,18023,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,402",305,174,HU,16.996333,46.7785
Nemesrempehollós,9672,község,Vas,177 0,Körmendi,Körmend,"1,205",258,149,HU,16.683833,47.094333
Nemessándorháza,25609,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,115",300,160,HU,16.951833,46.786333
Nemesvámos,2194,község,Veszprém,191 0,Veszprémi,Veszprém,"4,078",3000,1028,HU,17.872333,47.053833
Nemesvid,17561,község,Somogy,144 0,Marcali,Marcali,"1,838",594,345,HU,17.253,46.490333
Nemesvita,28422,község,Veszprém,189 0,Tapolcai,Tapolca,925,342,193,HU,17.368333,46.823167
Nemesszalók,21759,község,Veszprém,187 0,Pápai,Pápa,"2,055",784,360,HU,17.300167,47.277
Nemesszentandrás,8059,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,546,242,126,HU,16.9455,46.774833
Németbánya,10409,község,Veszprém,187 0,Pápai,Pápa,"1,219",114,82,HU,17.645167,47.2175
Németfalu,25414,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,867,196,71,HU,16.688167,46.8165
Németkér,15006,község,Tolna,172 0,Paksi,Paks,"6,497",1513,758,HU,18.7645,46.718333
Nemti,27580,község,Nógrád,117 0,Bátonyterenyei,Bátonyterenye,"1,106",653,428,HU,19.899833,48.0075
Neszmély,33826,község,Komárom-Esztergom,114 0,Tatai,Tata,"2,772",1380,584,HU,18.358667,47.735833
Nézsa,9797,község,Nógrád,119 0,Rétsági,Rétság,"1,867",1175,495,HU,19.296333,47.845333
Nick,10843,község,Vas,179 0,Sárvári,Sárvár,"1,140",552,288,HU,17.02,47.402667
Nikla,10959,község,Somogy,144 0,Marcali,Marcali,"2,335",713,318,HU,17.5145,46.5805
Nógrád,4358,község,Nógrád,119 0,Rétsági,Rétság,"2,954",1634,736,HU,19.051,47.905
Nógrádkövesd,32300,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,899,645,293,HU,19.373,47.879
Nógrádmarcal,29832,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,"1,993",436,198,HU,19.388,48.026833
Nógrádmegyer,12131,község,Nógrád,121 0,Szécsényi,Szécsény,"2,277",1522,575,HU,19.6265,48.068667
Nógrádsáp,8387,község,Nógrád,119 0,Rétsági,Rétság,"1,547",898,377,HU,19.355833,47.84
Nógrádsipek,19497,község,Nógrád,121 0,Szécsényi,Szécsény,"2,012",613,303,HU,19.502833,48.008333
Nógrádszakál,27340,község,Nógrád,121 0,Szécsényi,Szécsény,"1,872",570,249,HU,19.528,48.182833
Nóráp,26523,község,Veszprém,187 0,Pápai,Pápa,758,192,98,HU,17.460167,47.272167
Noszlop,14757,község,Veszprém,186 0,Devecseri,Devecser,"3,405",977,414,HU,17.4595,47.1825
Noszvaj,18810,község,Heves,104 0,Egri,Eger,"1,884",1867,788,HU,20.477,47.936333
Nova,3355,község,Zala,194 0,Lenti,Lenti,"3,929",724,351,HU,16.680167,46.687333
Novaj,29276,község,Heves,104 0,Egri,Eger,"1,852",1293,564,HU,20.483333,47.8575
Novajidrány,27191,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,"1,431",1315,436,HU,21.167833,48.396833
Nőtincs,29425,község,Nógrád,119 0,Rétsági,Rétság,"2,047",1158,530,HU,19.139833,47.8835
Nyalka,19752,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,"1,286",509,203,HU,17.810167,47.5425
Nyárád,29009,község,Veszprém,187 0,Pápai,Pápa,"1,979",867,350,HU,17.363167,47.283167
Nyáregyháza,23038,nagyközség,Pest,130 0,Monori,Monor,"3,201",3847,1502,HU,19.502,47.261333
Nyárlőrinc,23056,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,"6,636",2258,1013,HU,19.8765,46.859667
Nyársapát,20066,község,Pest,132 0,Nagykőrösi,Nagykőrös,"5,403",2056,869,HU,19.801833,47.100333
Nyékládháza,12885,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,"2,467",4978,2015,HU,20.841167,47.994167
Nyergesújfalu,15352,város,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"3,964",7227,3309,HU,18.545667,47.7565
Nyésta,4419,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,689,62,28,HU,20.952,48.371833
Nyim,3203,község,Somogy,146 0,Siófoki,Siófok,976,321,148,HU,18.107667,46.8025
Nyírábrány,32294,nagyközség,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,"5,559",3581,1470,HU,22.017833,47.547
Nyíracsád,14003,község,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,"7,493",3611,1439,HU,21.9745,47.601833
Nyirád,24004,község,Veszprém,183 0,Ajkai,Ajka,"6,135",1756,763,HU,17.451,47.004167
Nyíradony,6187,város,Hajdú-Bihar,101 1,Nyíradonyi,Nyíradony,"9,657",7235,2632,HU,21.907167,47.691333
Nyírbátor,14845,város,Szabolcs-Szatmár-Bereg,156 1,Nyírbátori,Nyírbátor,"6,674",11237,4832,HU,22.1295,47.837167
Nyírbéltek,15802,nagyközség,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"6,217",2690,1099,HU,22.1285,47.698167
Nyírbogát,31158,város,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"5,536",2931,1232,HU,22.063333,47.801833
Nyírbogdány,28802,község,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,"3,503",2696,1022,HU,21.8725,48.057167
Nyírcsaholy,7904,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,"3,434",2122,829,HU,22.337333,47.904
Nyírcsászári,25973,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"1,324",1046,411,HU,22.1745,47.8685
Nyírderzs,5041,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"1,701",508,255,HU,22.162833,47.898667
Nyíregyháza,17206,"megyeszékhely, megyei jogú város",Szabolcs-Szatmár-Bereg,157 1,Nyíregyházi,Nyíregyháza,"27,454",115359,54092,HU,21.472333,48.124167
Nyírgelse,28440,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"2,762",1012,476,HU,21.978,47.763
Nyírgyulaj,9238,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"3,575",1833,764,HU,22.0915,47.886167
Nyíri,26435,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,"1,647",416,182,HU,21.4445,48.499
Nyíribrony,14696,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,"2,009",1065,419,HU,21.963833,48.017167
Nyírjákó,31477,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,"1,034",819,359,HU,22.0765,48.031333
Nyírkarász,18290,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,"4,143",2191,837,HU,22.098833,48.096833
Nyírkáta,32452,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,"3,863",1883,636,HU,22.244667,47.8655
Nyírkércs,25928,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,"1,428",692,301,HU,22.048,48.014
