city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Ároktő,3823,község,Borsod-Abaúj-Zemplén,059 0,Mezőcsáti,Mezőcsát,"4,641",1017,452,HU,20.9445,47.729167
Árpádhalom,19062,község,Csongrád-Csanád,076 0,Szentesi,Szentes,"4,520",384,227,HU,20.549667,46.6165
Árpás,32249,község,Győr-Moson-Sopron,092 0,Téti,Tét,"1,425",269,143,HU,17.397667,47.512333
Ártánd,3319,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,"1,981",500,234,HU,21.761,47.124167
Ásotthalom,10339,nagyközség,Csongrád-Csanád,074 0,Mórahalmi,Mórahalom,"12,254",3682,1900,HU,19.7845,46.199
Ásványráró,26921,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,"3,911",2165,895,HU,17.499667,47.8295
Aszaló,4233,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,"2,536",1872,620,HU,20.960833,48.222167
Ászár,23852,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"1,868",1401,673,HU,,
Aszód,16188,város,Pest,122 1,Aszódi,Aszód,"1,620",6129,2645,HU,19.487667,47.651167
Aszófő,7339,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,832,482,202,HU,17.832833,46.93
Áta,28583,község,Baranya,028 0,Pécsi,Pécs,809,159,87,HU,18.299667,45.9365
Átány,6503,község,Heves,108 0,Hevesi,Heves,"5,044",1440,517,HU,20.363333,47.616167
Atkár,16090,község,Heves,106 0,Gyöngyösi,Gyöngyös,"3,376",1748,741,HU,19.8915,47.718667
Attala,32735,község,Tolna,171 0,Dombóvári,Dombóvár,"2,064",702,346,HU,18.0675,46.377667
Babarc,5403,község,Baranya,024 0,Bólyi,Bóly,"1,885",661,310,HU,18.557667,46.001833
Babarcszőlős,9663,község,Baranya,031 0,Siklósi,Siklós,425,92,60,HU,18.138167,45.8995
Babócsa,30474,község,Somogy,140 0,Barcsi,Barcs,"3,099",1344,685,HU,17.344667,46.036667
Bábolna,19363,város,Komárom-Esztergom,112 0,Komáromi,Komárom,"3,354",3397,1388,HU,17.980167,47.644167
Bábonymegyer,28316,község,Somogy,147 0,Tabi,Tab,"2,193",779,341,HU,18.116,46.748833
Babosdöbréte,21263,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,252",507,240,HU,16.779167,46.813833
Babót,15042,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,"2,167",1066,490,HU,17.079667,47.575333
Bácsalmás,10719,város,Bács-Kiskun,034 1,Bácsalmási,Bácsalmás,"10,829",6042,3109,HU,19.3285,46.129167
Bácsbokod,10180,nagyközség,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,"6,393",2258,1176,HU,19.157,46.126167
Bácsborsód,27234,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,"7,752",1028,419,HU,19.158167,46.0975
Bácsszentgyörgy,8697,község,Bács-Kiskun,035 0,Bajai,Baja,"1,474",125,86,HU,19.0415,45.976
Bácsszőlős,30155,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,"3,883",297,211,HU,19.423833,46.135333
Badacsonytomaj,22327,város,Veszprém,189 0,Tapolcai,Tapolca,"3,270",2149,1179,HU,17.513333,46.808667
Badacsonytördemic,3267,község,Veszprém,189 0,Tapolcai,Tapolca,"1,025",873,503,HU,17.474,46.810667
Bag,9131,nagyközség,Pest,122 0,Aszódi,Aszód,"2,355",3682,1340,HU,19.483667,47.634
Bagamér,20011,nagyközség,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,"4,702",2350,936,HU,21.993667,47.45
Baglad,11059,község,Zala,194 0,Lenti,Lenti,486,43,38,HU,16.486333,46.680833
Bagod,30368,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,637",1197,471,HU,16.751833,46.8785
Bágyogszovát,28769,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"2,406",1272,553,HU,17.367333,47.585167
